"RK","PLAYER NAME",TEAM,"SOS SEASON","SOS PLAYOFFS","PROJ. FPTS","ECR VS. ADP"
"97","Trey Palmer",TB,"4 out of 5 stars","2 out of 5 stars","53.9","-6"
"98","Terrace Marshall Jr.",CAR,"3 out of 5 stars","2 out of 5 stars","53.9","+24"
"92","Nelson Agholor",BAL,"2 out of 5 stars","3 out of 5 stars","53.0","-"
"101","Nick Westbrook-Ikhine",TEN,"3 out of 5 stars","3 out of 5 stars","52.8","-"
"102","John Metchie III",HOU,"4 out of 5 stars","4 out of 5 stars","51.7","-19"
"94","Parris Campbell",NYG,"2 out of 5 stars","2 out of 5 stars","51.0","-22"
"95","Braxton Berrios",MIA,"3 out of 5 stars","2 out of 5 stars","51.0","-"
"103","Justyn Ross",KC,"3 out of 5 stars","3 out of 5 stars","50.6","-30"
"96","Mack Hollins",ATL,"5 out of 5 stars","4 out of 5 stars","50.0","-"
"99","Justin Watson",KC,"3 out of 5 stars","3 out of 5 stars","49.0","-4"
"100","Deonte Harty",BUF,"3 out of 5 stars","3 out of 5 stars","49.0","-"
"105","Cedric Tillman",CLE,"3 out of 5 stars","4 out of 5 stars","48.4","-"
"104","Mecole Hardman Jr.",KC,"3 out of 5 stars","3 out of 5 stars","46.0","-20"
"108","Jake Bobo",SEA,"3 out of 5 stars","4 out of 5 stars","45.1","-22"
"109","Kayshon Boutte",NE,"4 out of 5 stars","4 out of 5 stars","44.0","-"
"106","Chase Claypool",MIA,"3 out of 5 stars","2 out of 5 stars","42.0","-26"
"107","Richie James Jr.",KC,"3 out of 5 stars","3 out of 5 stars","42.0","-15"
"111","Laviska Shenault Jr.",CAR,"3 out of 5 stars","2 out of 5 stars","40.7","-"
"112","Randall Cobb",NYJ,"3 out of 5 stars","2 out of 5 stars","39.6","-"
"110","Khalil Shakir",BUF,"3 out of 5 stars","3 out of 5 stars","38.0","+6"
"113","Brandon Johnson",DEN,"4 out of 5 stars","4 out of 5 stars","37.4","-"
"114","Marvin Jones Jr.",FA,"-","-","37.4","-"
